   15500Nodal temper 8
B_Pillar_P20_AA6082_TWB2-2.5mm_To490C_fric020_BHF20kN_Quench25kN_04_Quenching
Contour       Nodal temperature - Membrane
 Unit         NONE
 Dimension    1
 Type         SCALAR                        
 Entity       ELEMENT                       
State         State 5 : Time = 4.000541
 Number         5
  237767  0.17584E+03
  237768  0.17634E+03
  237769  0.17731E+03
  237770  0.17877E+03
  237771  0.18074E+03
  237772  0.18327E+03
  237773  0.18620E+03
  237774  0.18938E+03
  237775  0.19263E+03
  237776  0.19567E+03
  237777  0.19830E+03
  237778  0.20042E+03
  237779  0.20191E+03
  237780  0.20279E+03
  237781  0.20305E+03
  237782  0.20268E+03
  237783  0.20170E+03
  237784  0.20018E+03
  237785  0.19814E+03
  237786  0.19560E+03
  237787  0.19264E+03
  237788  0.18935E+03
  237789  0.18585E+03
  237790  0.18229E+03
  237791  0.17867E+03
  237792  0.17515E+03
  237793  0.17173E+03
  237794  0.16843E+03
  237795  0.16544E+03
  237796  0.16273E+03
  237797  0.16033E+03
  237798  0.15819E+03
  237799  0.15622E+03
  237800  0.15436E+03
  237801  0.15258E+03
  237802  0.15090E+03
  237803  0.14934E+03
  237804  0.14776E+03
  237805  0.14616E+03
  237806  0.14460E+03
  237807  0.14303E+03
  237808  0.14145E+03
  237809  0.13991E+03
  237810  0.13845E+03
  237811  0.13721E+03
  237812  0.13628E+03
  237813  0.13568E+03
  237814  0.13543E+03
  237815  0.13557E+03
  237816  0.13609E+03
  237817  0.13700E+03
  237818  0.13832E+03
  237819  0.14003E+03
  237820  0.14206E+03
  237821  0.14431E+03
  237822  0.14677E+03
  237823  0.14945E+03
  237824  0.15229E+03
  237825  0.15523E+03
  237826  0.15815E+03
  237827  0.16082E+03
  237828  0.16313E+03
  237829  0.16523E+03
  237830  0.16712E+03
  237831  0.16864E+03
  237832  0.16971E+03
  237833  0.17047E+03
  237834  0.17114E+03
  237835  0.17186E+03
  237836  0.17261E+03
  237837  0.17336E+03
  237838  0.17412E+03
  237839  0.17484E+03
  237840  0.17548E+03
  237841  0.17598E+03
  237842  0.17633E+03
  237843  0.17656E+03
  237844  0.17670E+03
  237845  0.17680E+03
  237846  0.17687E+03
  237847  0.17693E+03
  237848  0.17697E+03
