   15500Nodal temper 8
B_Pillar_P20_AA6082_TWB2-2.5mm_To490C_fric020_BHF20kN_Quench25kN_03_Stamping
Contour       Nodal temperature - Membrane
 Unit         NONE
 Dimension    1
 Type         SCALAR                        
 Entity       ELEMENT                       
State         State 9 : Prog. = 85.709778
 Number         9
  237767  0.43967E+03
  237768  0.43968E+03
  237769  0.43799E+03
  237770  0.43545E+03
  237771  0.43231E+03
  237772  0.42894E+03
  237773  0.42509E+03
  237774  0.42033E+03
  237775  0.41536E+03
  237776  0.41049E+03
  237777  0.40607E+03
  237778  0.40024E+03
  237779  0.39440E+03
  237780  0.39359E+03
  237781  0.39823E+03
  237782  0.40460E+03
  237783  0.41043E+03
  237784  0.41558E+03
  237785  0.41995E+03
  237786  0.42444E+03
  237787  0.42954E+03
  237788  0.43517E+03
  237789  0.44011E+03
  237790  0.44302E+03
  237791  0.44586E+03
  237792  0.44851E+03
  237793  0.45047E+03
  237794  0.45195E+03
  237795  0.45363E+03
  237796  0.45731E+03
  237797  0.46182E+03
  237798  0.46536E+03
  237799  0.46666E+03
  237800  0.46662E+03
  237801  0.46443E+03
  237802  0.45580E+03
  237803  0.44248E+03
  237804  0.43700E+03
  237805  0.43564E+03
  237806  0.44413E+03
  237807  0.46563E+03
  237808  0.47966E+03
  237809  0.48468E+03
  237810  0.48648E+03
  237811  0.48715E+03
  237812  0.48741E+03
  237813  0.48756E+03
  237814  0.48768E+03
  237815  0.48784E+03
  237816  0.48803E+03
  237817  0.48821E+03
  237818  0.48829E+03
  237819  0.48830E+03
  237820  0.48825E+03
  237821  0.48809E+03
  237822  0.48771E+03
  237823  0.48686E+03
  237824  0.48515E+03
  237825  0.48216E+03
  237826  0.47739E+03
  237827  0.47007E+03
  237828  0.45905E+03
  237829  0.44292E+03
  237830  0.43550E+03
  237831  0.44276E+03
  237832  0.45257E+03
  237833  0.45968E+03
  237834  0.46453E+03
  237835  0.46896E+03
  237836  0.47278E+03
  237837  0.47645E+03
  237838  0.47991E+03
  237839  0.48230E+03
  237840  0.48338E+03
  237841  0.48378E+03
  237842  0.48399E+03
  237843  0.48417E+03
  237844  0.48437E+03
  237845  0.48459E+03
  237846  0.48478E+03
  237847  0.48492E+03
  237848  0.48503E+03
